species	phylum	genus	kingdom	subphylum	family	order	superphylum	class	dataset	is_terrestrial	size	range	diversity
Acyrthosiphon pisum	Arthropoda	Acyrthosiphon	Animalia	Hexapoda	Aphididae	Hemiptera	Ecdysozoa	Insecta	Leffler	TRUE	0.004	13444260.161161438	0.0088125
Aedes aegypti	Arthropoda	Aedes	Animalia	Hexapoda	Culicidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	0.0026325	47278392.15689934	0.01421
Agelaius phoeniceus	Chordata	Agelaius	Animalia	Vertebrata	Icteridae	Passeriformes	NA	Aves	Leffler	TRUE	0.22	13843738.739353405	0.0059
Ailuropoda melanoleuca	Chordata	Ailuropoda	Animalia	Vertebrata	Ursidae	Carnivora	NA	Mammalia	Leffler	TRUE	1.53924	1488498.9455028386	0.00135
Amphimedon queenslandica	Porifera	Amphimedon	Animalia	NA	Niphatidae	Haplosclerida	NA	Demospongiae	Leffler	FALSE	NaN	3013.946997585753	0.023700000000000002
Anopheles arabiensis	Arthropoda	Anopheles	Animalia	Hexapoda	Culicidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	0.00295	17704513.579145078	0.022000000000000002
Anopheles baimaii	Arthropoda	Anopheles	Animalia	Hexapoda	Culicidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	NaN	43964.05118162883	0.00541
Anopheles cruzii	Arthropoda	Anopheles	Animalia	Hexapoda	Culicidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	NaN	22431.866231025633	0.01439
Anopheles dirus	Arthropoda	Anopheles	Animalia	Hexapoda	Culicidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	NaN	910573.0740678933	0.009715
Anopheles gambiae	Arthropoda	Anopheles	Animalia	Hexapoda	Culicidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	0.0029200000000000003	13751032.342446806	0.0288
Anopheles melas	Arthropoda	Anopheles	Animalia	Hexapoda	Culicidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	NaN	1039548.3427768996	0.005699999999999999
Anopheles merus	Arthropoda	Anopheles	Animalia	Hexapoda	Culicidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	0.00303	2472915.478451328	0.0124
Anopheles quadriannulatus	Arthropoda	Anopheles	Animalia	Hexapoda	Culicidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	0.0055	1045212.427177459	0.022799999999999997
Anopheles scanloni	Arthropoda	Anopheles	Animalia	Hexapoda	Culicidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	NaN	-Inf	0.0058
Aphanarthrum subglabrum/glabrum	Arthropoda	Aphanarthrum	NA	NA	NA	"	Coleoptera"	NA	Insecta	Leffler	FALSE	0.00155	-Inf	0.00189
Apis cerana	Arthropoda	Apis	Animalia	Hexapoda	Apidae	Hymenoptera	Ecdysozoa	Insecta	Leffler	TRUE	0.009	11505641.690328775	0.00848
Apis mellifera	Arthropoda	Apis	Animalia	Hexapoda	Apidae	Hymenoptera	Ecdysozoa	Insecta	Leffler	TRUE	0.015	88513632.47084571	0.00848
Aquila clanga/pomarina	Chordata	Aquila	Animalia	Vertebrata	Accipitridae	Accipitriformes	NA	Aves	Leffler	TRUE	0.65	28738034.461075738	0.001143
Aquilegia formosa/pubescens	Tracheophyta	Aquilegia	Plantae	Spermatophytina	Ranunculaceae	Ranunculales	Embryophyta	Magnoliopsida	Leffler	TRUE	NaN	1850019.580158489	0.00228
Arabidopsis halleri	Tracheophyta	Arabidopsis	Plantae	Spermatophytina	Brassicaceae	Brassicales	Embryophyta	Magnoliopsida	Leffler	TRUE	0.225	3417558.836747311	0.01502
Arabidopsis lyrata	Tracheophyta	Arabidopsis	Plantae	Spermatophytina	Brassicaceae	Brassicales	Embryophyta	Magnoliopsida	Leffler	TRUE	NaN	22662051.245074317	0.009116666666666667
Arabidopsis thaliana	Tracheophyta	Arabidopsis	Plantae	Spermatophytina	Brassicaceae	Brassicales	Embryophyta	Magnoliopsida	Leffler	TRUE	0.25	15586348.670218622	0.006033333333333333
Bactrocera depressa	Arthropoda	Bactrocera	Animalia	Hexapoda	Tephritidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	0.00745	221069.04070165256	0.0023
Balaenoptera bonaerensis	Chordata	Balaenoptera	Animalia	Vertebrata	Balaenopteridae	Cetacea	NA	Mammalia	Leffler	FALSE	5.4864	183147531.23955068	0.00387
Boechera stricta	Tracheophyta	Boechera	Plantae	Spermatophytina	Brassicaceae	Brassicales	Embryophyta	Magnoliopsida	Leffler	TRUE	NaN	9264274.016187066	0.0034999999999999996
Caenorhabditis briggsae	Nematoda	Caenorhabditis	Animalia	NA	Rhabditidae	Rhabditida	Ecdysozoa	Chromadorea	Leffler	TRUE	0.0014	-Inf	3.7749999999999996e-4
Caenorhabditis elegans	Nematoda	Caenorhabditis	Animalia	NA	Rhabditidae	Rhabditida	Ecdysozoa	Chromadorea	Leffler	TRUE	0.0014	11043400	0.003715
Caenorhabditis remanei	Nematoda	Caenorhabditis	Animalia	NA	Rhabditidae	Rhabditida	Ecdysozoa	Chromadorea	Leffler	TRUE	0.0014	-Inf	0.0567
Callithrix jacchus	Chordata	Callithrix	Animalia	Vertebrata	Callitrichidae	Primates	NA	Mammalia	Leffler	TRUE	0.18669	4705067.175357706	0.00123
Canis latrans/lupus	Chordata	Canis	Animalia	Vertebrata	Canidae	Carnivora	NA	Mammalia	Leffler	TRUE	0.80772	57920876.94157054	0.001712
Capsella grandiflora	Tracheophyta	Capsella	Plantae	Spermatophytina	Brassicaceae	Brassicales	Embryophyta	Magnoliopsida	Leffler	TRUE	NaN	60159.65089866241	0.03202
Capsella rubella	Tracheophyta	Capsella	Plantae	Spermatophytina	Brassicaceae	Brassicales	Embryophyta	Magnoliopsida	Leffler	TRUE	NaN	4012444.6414114833	0.00666
Cecidostiba fungosa	Arthropoda	Cecidostiba	NA	NA	NA	Hymenoptera	NA	Insecta	Leffler	TRUE	0.0018	172264.3635861311	0.011265
Ceratitis capitata	Arthropoda	Ceratitis	Animalia	Hexapoda	Tephritidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	0.004	38860343.801214136	0.02951
Chlamydomonas reinhardtii	Chlorophyta	Chlamydomonas	Plantae	Chlorophytina	Chlamydomonadaceae	Chlamydomonadales	NA	Chlorophyceae	Leffler	TRUE	1e-5	1309.217123173996	0.028495
Chlorocebus aethiops	Chordata	Chlorocebus	Animalia	Vertebrata	Cercopithecidae	Primates	NA	Mammalia	Leffler	TRUE	0.458	17551149.185372155	0.00233
Cichla pleiozona	Chordata	Cichla	Animalia	Vertebrata	Cichlidae	Perciformes	NA	Teleostei	Leffler	TRUE	0.4572	1587982.6629788694	0.010333333333333333
Ciona intestinalis	Chordata	Ciona	Animalia	Urochordata	Cionidae	Enterogona	NA	Ascidiacea	Leffler	FALSE	0.2	2801453.191964699	0.025035
Ciona roulei	Chordata	Ciona	Animalia	Urochordata	Cionidae	Enterogona	NA	Ascidiacea	Leffler	FALSE	0.2	-Inf	0.03238
Ciona savignyi	Chordata	Ciona	Animalia	Urochordata	Cionidae	Enterogona	NA	Ascidiacea	Leffler	FALSE	0.15	410324.63060255075	0.0801
Crassostrea gigas	Mollusca	Crassostrea	Animalia	NA	Ostreidae	Ostreoida	Lophozoa	Bivalvia	Leffler	FALSE	0.24257	3696111.1764127505	0.03318
Cryptococcus neoformans	Basidiomycota	Cryptococcus	Fungi	Agaricomycotina	Tremellaceae	Tremellales	NA	Tremellomycetes	Leffler	TRUE	5e-6	11531787.675021563	0.00517575
Cryptomeria japonica	Tracheophyta	Cryptomeria	Plantae	Spermatophytina	Cupressaceae	Pinales	Embryophyta	Pinopsida	Leffler	TRUE	16.764	26047317.75157583	0.0052
Daphnia arenata	Arthropoda	Daphnia	Animalia	Crustacea	Daphniidae	Diplostraca	Ecdysozoa	Branchiopoda	NA	NA	0.002	NaN	0.0021
Daphnia magna	Arthropoda	Daphnia	Animalia	Crustacea	Daphniidae	Diplostraca	Ecdysozoa	Branchiopoda	Leffler	TRUE	0.0035	19940908.054377582	0.013179999999999999
Daphnia obtusa	Arthropoda	Daphnia	Animalia	Crustacea	Daphniidae	Diplostraca	Ecdysozoa	Branchiopoda	Leffler	TRUE	0.002	1890094.4135525916	0.011765000000000001
Daphnia pulex	Arthropoda	Daphnia	Animalia	Crustacea	Daphniidae	Diplostraca	Ecdysozoa	Branchiopoda	Leffler	TRUE	0.0016	14693152.172597192	0.022029999999999998
Daphnia pulicaria	Arthropoda	Daphnia	Animalia	Crustacea	Daphniidae	Diplostraca	Ecdysozoa	Branchiopoda	Leffler	TRUE	0.002	6066983.168922311	0.020225
Dasypus novemcinctus	Chordata	Dasypus	Animalia	Vertebrata	Dasypodidae	Cingulata	NA	Mammalia	Leffler	TRUE	0.7	22072449.921529487	0.00153
Daubentonia madagascariensis	Chordata	Daubentonia	Animalia	Vertebrata	Daubentoniidae	Primates	NA	Mammalia	Leffler	TRUE	0.4064	72212.86452059278	7.3e-4
Drosophila americana	Arthropoda	Drosophila	Animalia	Hexapoda	Drosophilidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	NaN	2355247	0.02153
Drosophila ananassae	Arthropoda	Drosophila	Animalia	Hexapoda	Drosophilidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	NaN	10721433	0.0236
Drosophila arizonae	Arthropoda	Drosophila	Animalia	Hexapoda	Drosophilidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	NaN	1542211	0.008285
Drosophila bipectinata	Arthropoda	Drosophila	Animalia	Hexapoda	Drosophilidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	NaN	8630082	0.020099999999999996
Drosophila bogotana	Arthropoda	Drosophila	Animalia	Hexapoda	Drosophilidae	Diptera	Ecdysozoa	Insecta	NA	NA	NaN	NaN	0.00622
Drosophila buzzatii	Arthropoda	Drosophila	Animalia	Hexapoda	Drosophilidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	NaN	3240375	0.01936
Drosophila kikkawai	Arthropoda	Drosophila	Animalia	Hexapoda	Drosophilidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	NaN	21189061	0.0323
Drosophila malerkotliana	Arthropoda	Drosophila	Animalia	Hexapoda	Drosophilidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	NaN	10500000	0.0168
Drosophila melanogaster	Arthropoda	Drosophila	Animalia	Hexapoda	Drosophilidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	0.0015400000000000001	15164371.383244975	0.0202
Drosophila miranda	Arthropoda	Drosophila	Animalia	Hexapoda	Drosophilidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	0.00295	10440	0.004423333333333333
Drosophila mojavensis	Arthropoda	Drosophila	Animalia	Hexapoda	Drosophilidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	NaN	567011	0.00781
Drosophila navojoa	Arthropoda	Drosophila	Animalia	Hexapoda	Drosophilidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	NaN	-Inf	0.00804
Drosophila novamexicana	Arthropoda	Drosophila	Animalia	Hexapoda	Drosophilidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	NaN	130000	0.00202
Drosophila parabipectinata	Arthropoda	Drosophila	Animalia	Hexapoda	Drosophilidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	NaN	6537563	0.013300000000000001
Drosophila persimilis	Arthropoda	Drosophila	Animalia	Hexapoda	Drosophilidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	NaN	624127	0.00777
Drosophila pseudoananassae	Arthropoda	Drosophila	Animalia	Hexapoda	Drosophilidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	NaN	-Inf	0.018340000000000002
Drosophila pseudoobscura	Arthropoda	Drosophila	Animalia	Hexapoda	Drosophilidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	0.002	4061961	0.015216666666666667
Drosophila sechellia	Arthropoda	Drosophila	Animalia	Hexapoda	Drosophilidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	NaN	282	9.6e-4
Drosophila simulans	Arthropoda	Drosophila	Animalia	Hexapoda	Drosophilidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	0.021	3645961.212954205	0.0256
Drosophila subobscura	Arthropoda	Drosophila	Animalia	Hexapoda	Drosophilidae	Diptera	Ecdysozoa	Insecta	Leffler	TRUE	NaN	11771198	0.00988
Eichhornia paniculata	Tracheophyta	Eichhornia	Plantae	Spermatophytina	Pontederiaceae	Commelinales	Embryophyta	Magnoliopsida	Leffler	TRUE	NaN	11808056.05473452	0.001396
Eschrichtius robustus	Chordata	Eschrichtius	Animalia	Vertebrata	Eschrichtiidae	Cetacea	NA	Mammalia	Leffler	FALSE	11.8872	34596350.61343314	0.00117
Eulemur coronatus	Chordata	Eulemur	Animalia	Vertebrata	Lemuridae	Primates	NA	Mammalia	Leffler	TRUE	0.3556	108447.68716176625	0.0028100000000000004
Eulemur mongoz	Chordata	Eulemur	Animalia	Vertebrata	Lemuridae	Primates	NA	Mammalia	Leffler	TRUE	0.82296	61954.602348793516	0.00244
Ficedula albicollis	Chordata	Ficedula	Animalia	Vertebrata	Muscicapidae	Passeriformes	NA	Aves	Leffler	TRUE	0.1275	12269686.408869779	0.0038
Ficedula hypoleuca	Chordata	Ficedula	Animalia	Vertebrata	Muscicapidae	Passeriformes	NA	Aves	Leffler	TRUE	0.12954	8503688.184545556	0.0031
Galago moholi	Chordata	Galago	Animalia	Vertebrata	Galagidae	Primates	NA	Mammalia	Leffler	TRUE	0.3683	4358808.912670342	0.0020399999999999997
Gasterosteus aculeatus	Chordata	Gasterosteus	Animalia	Vertebrata	Gasterosteidae	Gasterosteiformes	NA	Teleostei	Leffler	TRUE	0.051	10139680.577958876	0.002328
