species	group	genome_size	hcn	map_length	sexual_system	size	num_markers	parpath	data_source	genus	log10_size
Juglans regia	plant	0.60636	16	24.578200000000002	NA	30	NA	FALSE	Stapley et al (2017)	Juglans	1.4771212547196624
Kryptolebias marmoratus	animal	0.680367	24	12.48	NA	0.024	9904	FALSE	Stapley et al (2017)	Kryptolebias	-1.6197887582883939
Labeo rohita	animal	1.95	25	13.738	NA	0.5	3193	FALSE	Stapley et al (2017)	Labeo	-0.3010299956639812
Lactuca sativa	plant	2.5917	9	29.74	NA	0.9	NA	FALSE	Stapley et al (2017)	Lactuca	-0.045757490560675115
Larimichthys crocea	animal	0.678938	24	54.513000000000005	NA	0.6	10150	FALSE	Stapley et al (2017)	Larimichthys	-0.2218487496163564
Larix kaempferi	plant	9.291	12	5.465	NA	0.3	NA	FALSE	Stapley et al (2017)	Larix	-0.5228787452803376
Lates calcarifer	animal	0.6846	24	14.129000000000001	hermaphrodite	1.5	8274	FALSE	Stapley et al (2017)	Lates	0.17609125905568124
Lens culinaris	plant	4.107600000000001	7	24.296100000000003	NA	0.4	NA	FALSE	Stapley et al (2017)	Lens	-0.3979400086720376
Lepomis macrochirus	animal	0.98778	24	15.7675	NA	0.191	219	FALSE	Stapley et al (2017)	Lepomis	-0.7189666327522725
Leptinotarsa decemlineata	animal	0.44988	18	10.32	gonochorous	0.01	182	FALSE	Stapley et al (2017)	Leptinotarsa	-2
Linum usitatissimum	plant	0.6846	15	11.51	NA	1.2	NA	FALSE	Stapley et al (2017)	Linum	0.07918124604762482
Litopenaeus vannamei	animal	2.64	44	42.7143	gonochorous	0.23	6359	FALSE	Stapley et al (2017)	Litopenaeus	-0.638272163982407
Lolium multiflorum	plant	2.66016	7	4.888	NA	0.9	NA	FALSE	Stapley et al (2017)	Lolium	-0.045757490560675115
Lolium perenne	plant	2.365782	7	9.526	NA	0.9	NA	FALSE	Stapley et al (2017)	Lolium	-0.045757490560675115
Lotus japonicus	plant	0.46944	6	5.085	NA	NA	NA	FALSE	Stapley et al (2017)	Lotus	NA
Lucania goodei	animal	1.319322	24	3.92	gonochorous	0.029	915	FALSE	Stapley et al (2017)	Lucania	-1.537602002101044
Lucania parva	animal	1.391694	23	6.05	gonochorous	0.037	766	FALSE	Stapley et al (2017)	Lucania	-1.431798275933005
Luffa acutangula	plant	0.8313	13	14.361199999999998	NA	7.5	NA	FALSE	Stapley et al (2017)	Luffa	0.8750612633917001
Lupinus albus	plant	0.5868	25	21.69	NA	1.2	NA	FALSE	Stapley et al (2017)	Lupinus	0.07918124604762482
Lupinus angustifolius	plant	1.153	20	16.299	NA	0.135	NA	FALSE	Stapley et al (2017)	Lupinus	-0.8696662315049939
Macaca mulatta	animal	3.29097	22	20.48	gonochorous	0.500380001	241	FALSE	Stapley et al (2017)	Macaca	-0.30070005635053965
Macropus eugenii	animal	1.153	7	14.024000000000001	gonochorous	0.605	148	FALSE	Stapley et al (2017)	Macropus	-0.2182446253475311
Magnaporthe grisea	fungi	0.042711	7	12.47	NA	NA	NA	TRUE	Stapley et al (2017)	Magnaporthe	NA
Malus domestica	plant	1.87477	17	12.67	NA	9	NA	FALSE	Stapley et al (2017)	Malus	0.9542425094393249
Malus sieversii	plant	0.7335	17	12.9967	NA	10	NA	FALSE	Stapley et al (2017)	Malus	1
Malus pumila	plant	0.75306	17	14.8172	NA	7	NA	FALSE	Stapley et al (2017)	Malus	0.8450980400142568
Mangifera indica	plant	0.4401	20	31.4828	NA	45	NA	FALSE	Stapley et al (2017)	Mangifera	1.6532125137753437
Manihot esculenta	plant	1.2225	18	24.12	NA	2.4384	NA	FALSE	Stapley et al (2017)	Manihot	0.3871049496595065
Marsupenaeus japonicus	animal	2.76774	43	36.109	gonochorous	0.17	24444	FALSE	Stapley et al (2017)	Marsupenaeus	-0.769551078621726
Medicago sativa	plant	1.27629	32	21.33	NA	1	NA	FALSE	Stapley et al (2017)	Medicago	0
Medicago truncatula	plant	0.46944	8	12.15	NA	0.35	NA	FALSE	Stapley et al (2017)	Medicago	-0.4559319556497244
Melampsora lini	fungi	0.170172	18	58.6	NA	NA	NA	TRUE	Stapley et al (2017)	Melampsora	NA
Meleagris gallopavo	animal	1.43114	32	23.24	gonochorous	0.9906	570	FALSE	Stapley et al (2017)	Meleagris	-0.0041016763535627184
Meloidogyne hapla	animal	0.053013	16	12.940999999999999	parthenogenic	8.75e-4	182	TRUE	Stapley et al (2017)	Meloidogyne	-3.057991946977687
Melospiza melodia	animal	1.39854	40	17.31	gonochorous	0.14478	160	FALSE	Stapley et al (2017)	Melospiza	-0.8392914277075706
Metriaclima zebra	animal	0.848776495	22	19.33	NA	0.113	834	FALSE	Stapley et al (2017)	Metriaclima	-0.9469215565165803
Microtus ochrogaster	animal	2.28734	28	17.07	gonochorous	0.12192	406	FALSE	Stapley et al (2017)	Microtus	-0.9139250460044748
Mimulus guttatus	plant	0.45	14	17.5	NA	0.45	NA	FALSE	Stapley et al (2017)	Mimulus	-0.3467874862246563
Miscanthus sinensis	plant	2.5917	19	16.055	NA	1.2	NA	FALSE	Stapley et al (2017)	Miscanthus	0.07918124604762482
Misgurnus anguillicaudatus	animal	1.59414	25	7.2335	gonochorous	0.15	160	FALSE	Stapley et al (2017)	Misgurnus	-0.8239087409443188
Monodelphis domestica	animal	3.59844	9	7.15	gonochorous	0.14732	150	FALSE	Stapley et al (2017)	Monodelphis	-0.8317382898171246
Musa acuminata	plant	0.472231	11	11.97	NA	4.8768	NA	FALSE	Stapley et al (2017)	Musa	0.6881349453234877
Mycosphaerella graminicola	fungi	0.0397	21	12.16	NA	NA	NA	TRUE	Stapley et al (2017)	Mycosphaerella	NA
Nasonia giraulti	animal	0.283607	5	6.2	male.haploid	0.0022	52	FALSE	Stapley et al (2017)	Nasonia	-2.657577319177794
Nelumbo lutea	plant	0.94866	8	4.9430000000000005	NA	2	NA	FALSE	Stapley et al (2017)	Nelumbo	0.3010299956639812
Nelumbo nucifera	plant	0.23472	8	5.813	NA	2	NA	FALSE	Stapley et al (2017)	Nelumbo	0.3010299956639812
Nicotiana langsdorffii	plant	4.2543	9	10.62	NA	1.5	NA	FALSE	Stapley et al (2017)	Nicotiana	0.17609125905568124
Nicotiana tabacum	plant	5.06604	24	26.624299999999998	NA	2.5	NA	FALSE	Stapley et al (2017)	Nicotiana	0.3979400086720376
Nilaparvata lugens	animal	1.14079	15	10.933	gonochorous	0.004	472	FALSE	Stapley et al (2017)	Nilaparvata	-2.3979400086720375
Nothobranchius furzeri	animal	1.24252	19	19.65	NA	0.065	NA	FALSE	Stapley et al (2017)	Nothobranchius	-1.1870866433571443
Olea europaea	plant	1.9071	23	30.49	NA	11.5	NA	FALSE	Stapley et al (2017)	Olea	1.0606978403536116
Oncorhynchus kisutch	animal	2.76774	30	3.5855	gonochorous	0.71	282	FALSE	Stapley et al (2017)	Oncorhynchus	-0.14874165128092473
Oncorhynchus mykiss	animal	2.592678	29	36	gonochorous	0.6	2226	FALSE	Stapley et al (2017)	Oncorhynchus	-0.2218487496163564
Oncorhynchus nerka	animal	2.858694	29	31.865	NA	0.84	6322	FALSE	Stapley et al (2017)	Oncorhynchus	-0.07572071393811836
Oncorhynchus tshawytscha	animal	2.70906	34	31.197	gonochorous	0.7	14620	FALSE	Stapley et al (2017)	Oncorhynchus	-0.1549019599857432
Oreochromis mossambicus	animal	0.978	22	10.675999999999998	NA	0.3556	401	FALSE	Stapley et al (2017)	Oreochromis	-0.4490382477018239
Oreochromis niloticus	animal	1.058196	22	7.04	gonochorous	0.17	162	FALSE	Stapley et al (2017)	Oreochromis	-0.769551078621726
Oryctolagus cuniculus	animal	3.10724571	22	14.19	gonochorous	0.4191	189	FALSE	Stapley et al (2017)	Oryctolagus	-0.3776823391661557
Oryza rufipogon	plant	0.44988	12	15.968	NA	2.75	NA	FALSE	Stapley et al (2017)	Oryza	0.43933269383026263
Oryza sativa	plant	0.489	12	16.5	NA	0.762	NA	FALSE	Stapley et al (2017)	Oryza	-0.1180450286603995
Ostrea edulis	animal	1.14426	10	5.364	NA	0.074	293	FALSE	Stapley et al (2017)	Ostrea	-1.1307682802690238
Ovis aries	animal	2.941824	27	33.04	gonochorous	1.31064	39104	FALSE	Stapley et al (2017)	Ovis	0.11748341824714942
Ovis canadensis	animal	2.59055	27	30.51	gonochorous	1.55448	240	FALSE	Stapley et al (2017)	Ovis	0.19158513876549926
Panicum virgatum	plant	1.792674	18	20.851999999999997	NA	1.143	NA	FALSE	Stapley et al (2017)	Panicum	0.05804623039528174
Papilio glaucus	animal	0.43032	28	11.67	gonochorous	0.055	281	FALSE	Stapley et al (2017)	Papilio	-1.2596373105057561
Papio hamadryas	animal	3.45723	20	23.54	gonochorous	0.686	284	FALSE	Stapley et al (2017)	Papio	-0.16367588429324828
Paralichthys olivaceus	animal	0.69438	24	16.9515	gonochorous	1.03	72	FALSE	Stapley et al (2017)	Paralichthys	0.012837224705172217
Parus major	animal	1.47678	32	19.1682	gonochorous	0.1325	6554	FALSE	Stapley et al (2017)	Parus	-0.8777841217271733
Patinopecten yessoensis	animal	1.43766	19	19.186500000000002	NA	0.22	7489	FALSE	Stapley et al (2017)	Patinopecten	-0.6575773191777937
Penaeus monodon	animal	2.17	44	34.885	gonochorous	0.245	3959	FALSE	Stapley et al (2017)	Penaeus	-0.6108339156354675
Pennisetum glaucum	plant	2.62104	7	7.167000000000001	NA	1.8288	NA	FALSE	Stapley et al (2017)	Pennisetum	0.2621662130512065
Peromyscus maniculatus	animal	4.26408	24	14.99	gonochorous	0.1705	240	FALSE	Stapley et al (2017)	Peromyscus	-0.7682756166714835
Persea americana	plant	0.90954	12	10.874	NA	13.716	NA	FALSE	Stapley et al (2017)	Persea	1.1372274764429064
Petunia axillaris	plant	1.3692	7	9.7	NA	0.3048	NA	FALSE	Stapley et al (2017)	Petunia	-0.5159850373324371
Phaeosphaeria nodorum	fungi	0.0371	17	19.320999999999998	NA	NA	NA	TRUE	Stapley et al (2017)	Phaeosphaeria	NA
Phalloceros caudimaculatus	animal	0.7	24	14.77	NA	0.04625	94	FALSE	Stapley et al (2017)	Phalloceros	-1.3348882629249486
Phaseolus vulgaris	plant	0.5868	11	10.422	NA	2	NA	FALSE	Stapley et al (2017)	Phaseolus	0.3010299956639812
Phoenix dactylifera	plant	0.9291	18	12.93	NA	30	NA	FALSE	Stapley et al (2017)	Phoenix	1.4771212547196624
Physcomitrella patens	plant	0.477948	27	44.1	NA	0.0035	NA	FALSE	Stapley et al (2017)	Physcomitrella	-2.4559319556497243
Phytophthora infestans	sar	0.24	9	10.91	NA	NA	NA	TRUE	Stapley et al (2017)	Phytophthora	NA
Picea abies	plant	18.1908	12	18.892	NA	45	NA	FALSE	Stapley et al (2017)	Picea	1.6532125137753437
Pinus balfouriana	plant	29.28132	12	15.728	NA	15	NA	FALSE	Stapley et al (2017)	Pinus	1.1760912590556813
Pinus elliottii	plant	22.7874	12	10.363	NA	24	NA	FALSE	Stapley et al (2017)	Pinus	1.380211241711606
Pinus koraiensis	plant	27.5796	12	8.5746	NA	30	NA	FALSE	Stapley et al (2017)	Pinus	1.4771212547196624
Pinus lambertiana	plant	27.6027	12	12.31	NA	50	NA	FALSE	Stapley et al (2017)	Pinus	1.6989700043360187
Pinus massoniana	plant	25.1346	12	19.56	NA	35	NA	FALSE	Stapley et al (2017)	Pinus	1.5440680443502757
Pinus pinaster	plant	23.8143	12	17.08	NA	27.5	NA	FALSE	Stapley et al (2017)	Pinus	1.4393326938302626
Pinus radiata	plant	21.93654	12	10.6	NA	30	NA	FALSE	Stapley et al (2017)	Pinus	1.4771212547196624
Pinus taeda	plant	21.516	12	23.05	NA	32.5	NA	FALSE	Stapley et al (2017)	Pinus	1.5118833609788744
Pisum sativum	plant	4.77264	7	12.55	NA	2	NA	FALSE	Stapley et al (2017)	Pisum	0.3010299956639812
Plasmodium chabaudi	sar	0.0188678	14	16.76	NA	NA	NA	TRUE	Stapley et al (2017)	Plasmodium	NA
Plasmodium falciparum	sar	0.0232703	14	25.14	NA	NA	NA	TRUE	Stapley et al (2017)	Plasmodium	NA
Poecilia reticulata	animal	0.86553	23	8.99	gonochorous	0.028	790	FALSE	Stapley et al (2017)	Poecilia	-1.5528419686577808
Pogonomyrmex rugosus	animal	0.255	16	28.23	male.haploid	0.010625	215	FALSE	Stapley et al (2017)	Pogonomyrmex	-1.973671061277651
Populus adenopoda	plant	0.50856	19	21.785	NA	30	NA	FALSE	Stapley et al (2017)	Populus	1.4771212547196624
Populus alba	plant	0.50856	19	30.271	NA	21.5	NA	FALSE	Stapley et al (2017)	Populus	1.3324384599156054
Populus deltoides	plant	0.5	19	40.6716	NA	40	NA	FALSE	Stapley et al (2017)	Populus	1.6020599913279623
Populus nigra	plant	0.5140368	19	22.785	NA	25	NA	FALSE	Stapley et al (2017)	Populus	1.3979400086720377
Populus tremula	plant	0.46944	19	15.423499999999999	NA	22.5	NA	FALSE	Stapley et al (2017)	Populus	1.3521825181113625
Portunus trituberculatus	animal	2.25918	53	35.1945	gonochorous	0.131	919	FALSE	Stapley et al (2017)	Portunus	-0.8827287043442357
Primulina eburnea	plant	1.98534	18	37.747	NA	0.0015	NA	FALSE	Stapley et al (2017)	Primulina	-2.8239087409443187
Pristionchus pacificus	animal	0.133114	6	3.386	NA	7.931e-5	133	FALSE	Stapley et al (2017)	Pristionchus	-4.100672050122346
Prunus armeniaca	plant	0.2934	8	5.2269000000000005	NA	10	NA	FALSE	Stapley et al (2017)	Prunus	1
Prunus avium	plant	0.3423	8	8.49	NA	23.5	NA	FALSE	Stapley et al (2017)	Prunus	1.3710678622717363
Prunus dulcis	plant	0.24	8	5.914	NA	7	NA	FALSE	Stapley et al (2017)	Prunus	0.8450980400142568
Prunus kansuensis	plant	0.2934	8	6.16	NA	4.5	NA	FALSE	Stapley et al (2017)	Prunus	0.6532125137753437
Prunus mume	plant	0.23403	8	15.5062	NA	7	NA	FALSE	Stapley et al (2017)	Prunus	0.8450980400142568
Prunus persica	plant	0.27384	8	3.892	NA	7	NA	FALSE	Stapley et al (2017)	Prunus	0.8450980400142568
Pseudocercospora fijiensis	fungi	0.0741412	12	14.16	NA	NA	NA	TRUE	Stapley et al (2017)	Pseudocercospora	NA
Punica granatum	plant	0.70416	8	11.41	NA	12.5	NA	FALSE	Stapley et al (2017)	Punica	1.0969100130080565
Pyrus communis	plant	0.5379	17	22.434	NA	13	NA	FALSE	Stapley et al (2017)	Pyrus	1.1139433523068367
Quercus	plant	0.9095	12	7.42	NA	NA	NA	FALSE	Stapley et al (2017)	Quercus	NA
Rana temporaria	animal	4.16921	13	16.988	gonochorous	0.0775	107	FALSE	Stapley et al (2017)	Rana	-1.1106982974936896
Raphanus sativus	plant	0.978	9	15.38	NA	0.152	NA	FALSE	Stapley et al (2017)	Raphanus	-0.8181564120552275
Rattus norvegicus	animal	3.28608	22	15.03	gonochorous	0.215	4736	FALSE	Stapley et al (2017)	Rattus	-0.6675615400843947
Rhyzopertha dominica	animal	0.476	9	3.9010000000000002	NA	0.00255	NA	FALSE	Stapley et al (2017)	Rhyzopertha	-2.593459819566045
Ricinus communis	plant	0.50856	10	15.51	NA	2.4384	NA	FALSE	Stapley et al (2017)	Ricinus	0.3871049496595065
Rubus idaeus	plant	0.311982	7	4.627	NA	2	NA	FALSE	Stapley et al (2017)	Rubus	0.3010299956639812
Rubus occidentalis	plant	0.2934	7	3.09	NA	2.5	NA	FALSE	Stapley et al (2017)	Rubus	0.3979400086720376
Ruditapes philippinarum	animal	1.967	19	19.2698	NA	0.041	9658	FALSE	Stapley et al (2017)	Ruditapes	-1.3872161432802645
Saccharina japonica	sar	0.543426	31	17.8275	NA	NA	NA	FALSE	Stapley et al (2017)	Saccharina	NA
Salmo salar	animal	3.048426	29	59.61	gonochorous	0.38	96000	FALSE	Stapley et al (2017)	Salmo	-0.42021640338318983
Salmo trutta	animal	2.87532	40	14.03	gonochorous	0.72	3977	FALSE	Stapley et al (2017)	Salmo	-0.14266750356873156
Salvia miltiorrhiza	plant	0.615	8	15.16	NA	0.45	NA	FALSE	Stapley et al (2017)	Salvia	-0.3467874862246563
Schistosoma mansoni	animal	0.364538	8	11.3484	gonochorous	1.47e-4	243	TRUE	Stapley et al (2017)	Schistosoma	-3.832682665251824
Sciaenops ocellatus	animal	0.38142	24	18.153	NA	1	486	FALSE	Stapley et al (2017)	Sciaenops	0
Scleropages formosus	animal	0.777359	22	22.183000000000003	gonochorous	0.9	308	FALSE	Stapley et al (2017)	Scleropages	-0.045757490560675115
Scophthalmus maximus	animal	0.84108	22	26.2209	NA	0.5	6647	FALSE	Stapley et al (2017)	Scophthalmus	-0.3010299956639812
Scylla paramamosain	animal	1.60392	44	27.464000000000002	gonochorous	0.2	212	FALSE	Stapley et al (2017)	Scylla	-0.6989700043360187
Secale cereale	plant	8.09784	7	15.93	NA	1.3716	NA	FALSE	Stapley et al (2017)	Secale	0.13722747644290653
Seriola quinqueradiata	animal	0.81174	24	11.28595	NA	1.5	2081	FALSE	Stapley et al (2017)	Seriola	0.17609125905568124
Sesamum indicum	plant	0.94866	16	29.812800000000003	NA	1.7	NA	FALSE	Stapley et al (2017)	Sesamum	0.2304489213782739
Setaria italica	plant	0.51834	9	13.187999999999999	NA	NA	NA	FALSE	Stapley et al (2017)	Setaria	NA
Silene latifolia	plant	2.6406	12	6.711	NA	NA	NA	FALSE	Stapley et al (2017)	Silene	NA
Sinapis alba	plant	0.489	12	8.904	NA	NA	NA	FALSE	Stapley et al (2017)	Sinapis	NA
Solanum lycopersicum	plant	0.823786	12	12.972999999999999	NA	NA	NA	FALSE	Stapley et al (2017)	Solanum	NA
Solanum melongena	plant	0.95844	12	12.855	NA	NA	NA	FALSE	Stapley et al (2017)	Solanum	NA
Solanum pennellii	plant	0.926426	12	7.897	NA	NA	NA	FALSE	Stapley et al (2017)	Solanum	NA
Solanum pimpinellifolium	plant	0.688247	12	15.675	NA	NA	NA	FALSE	Stapley et al (2017)	Solanum	NA
Solanum tuberosum	plant	0.86064	12	8.83	NA	NA	NA	FALSE	Stapley et al (2017)	Solanum	NA
Sorghum bicolor	plant	1.18827	10	21.58	NA	NA	NA	FALSE	Stapley et al (2017)	Sorghum	NA
Sparus aurata	animal	0.9291	24	38.99	hermaphrodite	0.35	12085	FALSE	Stapley et al (2017)	Sparus	-0.4559319556497244
Spinacia oleracea	plant	1.0073	6	4.336	NA	NA	NA	FALSE	Stapley et al (2017)	Spinacia	NA
Strongyloides ratti	animal	0.0431502	3	0.902	parthenogenic	0.002	74	TRUE	Stapley et al (2017)	Strongyloides	-2.6989700043360187
Sus scrofa	animal	2.922264	20	20.12	gonochorous	1.46304	38599	FALSE	Stapley et al (2017)	Sus	0.1652562000431501
Taeniopygia guttata	animal	1.2225	35	14.79	gonochorous	0.10414	1920	FALSE	Stapley et al (2017)	Taeniopygia	-0.9823824266603265
Takifugu rubripes	animal	0.3912	22	16.963	gonochorous	0.4	1220	FALSE	Stapley et al (2017)	Takifugu	-0.3979400086720376
Taraxacum koksaghyz	plant	1.42	8	8.941	NA	NA	NA	FALSE	Stapley et al (2017)	Taraxacum	NA
Theobroma cacao	plant	0.4205	10	8.527999999999999	NA	NA	NA	FALSE	Stapley et al (2017)	Theobroma	NA
Thunnus orientalis	animal	0.8	24	11.626	gonochorous	NA	470	FALSE	Stapley et al (2017)	Thunnus	NA
Tigriopus californicus	animal	0.2445	12	4.01	gonochorous	0.003	190	FALSE	Stapley et al (2017)	Tigriopus	-2.5228787452803374
Tribolium castaneum	animal	0.202935	10	5.71	gonochorous	0.00335	424	FALSE	Stapley et al (2017)	Tribolium	-2.474955192963155
Tribolium confusum	animal	0.245	8	9.68	gonochorous	0.005	137	FALSE	Stapley et al (2017)	Tribolium	-2.3010299956639813
Trichogramma brassicae	animal	0.246	5	13.3	male.haploid	0.0033	84	TRUE	Stapley et al (2017)	Trichogramma	-2.4814860601221125
Trifolium pratense	plant	0.52812	7	20.84	NA	0.5	NA	FALSE	Stapley et al (2017)	Trifolium	-0.3010299956639812
Trifolium repens	plant	1.09536	16	12.74	NA	0.1143	NA	FALSE	Stapley et al (2017)	Trifolium	-0.9419537696047182
Trifolium subterraneum	plant	0.54768	8	17.017	NA	0.125	NA	FALSE	Stapley et al (2017)	Trifolium	-0.9030899869919435
Triticum aestivum	plant	16.94874	21	28.753	NA	1	NA	FALSE	Stapley et al (2017)	Triticum	0
Trypanosoma brucei	sar	0.0221481	11	11.575	NA	NA	NA	TRUE	Stapley et al (2017)	Trypanosoma	NA
Undaria pinnatifida	sar	0.56	30	18.1628	NA	NA	NA	FALSE	Stapley et al (2017)	Undaria	NA
Vaccinium corymbosum	plant	0.65526	12	16.21	NA	2.75	NA	FALSE	Stapley et al (2017)	Vaccinium	0.43933269383026263
Vaccinium macrocarpon	plant	0.414622	12	11.12	NA	0.875	NA	FALSE	Stapley et al (2017)	Vaccinium	-0.057991946977686754
Vanilla tahitensis	plant	5.60394	13	10.3585	NA	19.05	NA	FALSE	Stapley et al (2017)	Vanilla	1.2798949800116382
Vespula vulgaris	wgen	0.2198	25	21.29	male.haploid	0.0145	NA	FALSE	Stapley et al (2017)	Vespula	-1.8386319977650252
Vicia faba	plant	17.622582	6	12.168	NA	1.15	NA	FALSE	Stapley et al (2017)	Vicia	0.06069784035361165
Vigna angularis	plant	0.5379	11	16.2815	NA	0.6	NA	FALSE	Stapley et al (2017)	Vigna	-0.2218487496163564
Vigna mungo	plant	0.5379	11	8.651	NA	1	NA	FALSE	Stapley et al (2017)	Vigna	0
Vigna radiata	plant	0.89487	11	7.329	NA	0.9144	NA	FALSE	Stapley et al (2017)	Vigna	-0.03886378261277468
Vigna unguiculata	plant	0.5868	11	8.524	NA	0.762	NA	FALSE	Stapley et al (2017)	Vigna	-0.1180450286603995
Vigna vexillata	plant	0.56724	11	9.738999999999999	NA	4	NA	FALSE	Stapley et al (2017)	Vigna	0.6020599913279624
Vitis amurensis	plant	0.489	19	11.23	NA	15	NA	FALSE	Stapley et al (2017)	Vitis	1.1760912590556813
Vitis cinerea	plant	0.489	19	11.559800000000001	NA	10	NA	FALSE	Stapley et al (2017)	Vitis	1
Vitis vinifera	plant	0.446946	19	19.2913	NA	1.8288	NA	FALSE	Stapley et al (2017)	Vitis	0.2621662130512065
Xenopus tropicalis	animal	1.4404	10	16.68	gonochorous	0.0415	2886	FALSE	Stapley et al (2017)	Xenopus	-1.3819519032879073
Xiphophorus maculatus	animal	0.88509	24	13.283	gonochorous	0.023	16114	FALSE	Stapley et al (2017)	Xiphophorus	-1.6382721639824072
Zea mays	plant	2.6699	10	15.4565	NA	3	NA	FALSE	Stapley et al (2017)	Zea	0.47712125471966244
Ziziphus jujuba	plant	0.437754	12	14.5653	NA	13.716	NA	FALSE	Stapley et al (2017)	Ziziphus	1.1372274764429064
Zoysia japonica	plant	0.42054	20	13.372	NA	0.2	NA	FALSE	Stapley et al (2017)	Zoysia	-0.6989700043360187
Zoysia matrella	plant	0.563439	20	18.2495	NA	0.06	NA	FALSE	Stapley et al (2017)	Zoysia	-1.2218487496163564
Zymoseptoria tritici	fungi	0.0396863	21	42.553999999999995	NA	NA	NA	TRUE	Stapley et al (2017)	Zymoseptoria	NA
